breathing	Breathing	Pulzující	Pulsierend	Respiración	Hengitys	Pulsation	Respiro	ゆっくり点滅	브리딩	Ademend	Puster	Respiração	Дыхание	Pulsering	Nefes Alıp Verme	呼吸	呼吸	Пульсація	Åndedræt	จังหวะลมหายใจ	Oddychające	Respirație	Bernapas	
brightness	Brightness	Jas	Helligkeit	Brillo	Kirkkaus	Luminosité	Luminosità	輝度	밝기	Helderheid	Lysstyrke	Brilho	Яркость	Ljusstyrka	Parlaklık	亮度	亮度	Яскравість	Lysstyrke	ความสว่าง	Jasność	Luminozitate	Kecerahan	
cancel	Cancel	Zrušit	Abbrechen	Cancelar	Peru	Annuler	Annulla	キャンセル	취소	Annuleren	Avbryt	Cancelar	Отмена	Avbryt	İptal	取消	取消	Скасувати	Annuller	ยกเลิก	Anuluj	Anulare	Batal	
charging	Charging	Nabíjení	Wird aufgeladen	Cargando	Lataus meneillään	Charge en cours	Caricamento in corso	充電中	충전 중	Bezig met laden	Lader	A carregar	Зарядка	Laddar	Şarj oluyor	正在充电	充電中	Зарядження	Opladning	กำลังชาร์จ	Ładowanie	Încărcare	Mengisi daya	
eq_profile_classic	Classic	Vážná hudba	Klassisch	Clásico	Klassinen	Classique	Classica	クラシック	클래식	Klassiek	Klassisk	Clássica	Классика	Klassisk	Klasik	古典	古典	Класика	Klassisk	คลาสสิก	Klasyczna	Clasic	Klasik	
mp_link	Connect	Připojit	Verbinden	Conectar	Yhdistäminen	Connecter	Connetti	接続	연결	Verbinden	Koble til	Ligar	Подключить	Anslut	Bağlan	连接	連線	Підключити	Forbind	เชื่อมต่อ	Połącz	Conectare	Sambungkan	
case_hint	Currently not showing real-time battery level. To see the real-time battery level, place the earbuds in their charging case with the charging case open.	Aktuálně se nezobrazuje stav baterie v reálném čase. Chcete-li zobrazit úroveň nabití baterie v reálném čase, vložte sluchátka do nabíjecího pouzdra a nechte jej otevřené.	Aktuell wird nicht der absolute Akkustand angezeigt. Um den absoluten Akkustand zu sehen, legen Sie die Ohrhörer in den geöffneten Ladebehälter.	Actualmente no se muestra el nivel de batería en tiempo real. Para ver el nivel de batería en tiempo real, coloque los miniauriculares en su estuche de carga con este abierto.	Tällä hetkellä ei näytä reaaliaikaista akun varaustasoa. Jos haluat nähdä reaaliaikaisen akun varaustason, aseta kuulokkeet latauskoteloonsa latauskotelo auki.	Actuellement, le niveau de batterie n'est pas affiché en temps réel. Pour voir le niveau de batterie en temps réel, placez les écouteurs dans leur boîtier de charge, en gardant le boîtier ouvert.	Al momento non viene visualizzato il livello di carica della batteria in tempo reale. Per visualizzare il livello di carica della batteria in tempo reale, collocare gli auricolari nella custodia di carica con la custodia di carica aperta.	現在、リアルタイムのバッテリー残量は表示されません。リアルタイムのバッテリー残量を確認するには、イヤホンを充電ケースに入れ、ふたを開けた状態にします。	현재 배터리 잔량이 실시간으로 표시되지 않습니다. 배터리 잔량을 실시간으로 표시하려면 충전 케이스를 연 상태에서 이어버드를 충전 케이스에 넣으십시오.	Batterijniveau wordt momenteel niet in realtime weergeven. Om het batterijniveau in realtime te zien, plaatst u de earbuds in hun laadstation terwijl dat open is.	Viser for øyeblikket ikke batterinivå i sanntid. For å se batterinivået i sanntid må du sette ørepluggene i ladeesken med ladeesken åpen.	De momento, não mostra o nível da bateria em tempo real. Para ver o nível da bateria em tempo real, coloque os auriculares na sua caixa de carregamento com a caixa de carregamento aberta.	В данный момент уровень заряда батареи не обновляется в реальном времени. Для обновления информации в реальном времени поместите наушники в зарядный чехол и оставьте его открытым.	Visar för närvarande inte batterinivå i realtid. För att visa batterinivån i realtid, placera hörsnäckorna i sitt laddfodral med laddfodralet öppet.	Şu anda gerçek zamanlı pil seviyesi gösterilmiyor. Gerçek zamanlı pil seviyesini görmek için kulaklıkları, şarj kutusu açık olacak şekilde şarj kutusuna yerleştirin.	非实时电量，如需确认实时电量，请将耳机放入充电盒中，并保持充电盒开启。	非即時電量，若需確認即時電量，請將耳機放入充電盒中，並保持充電盒開啟。	Наразі не відображається рівень заряду акумулятора в реальному часі. Аби побачити рівень заряду акумулятора в реальному часі, помістіть навушники в зарядний футляр із відкритим зарядним футляром.	Viser i øjeblikket ikke batteristrømmen i realtid. For at se batteristrømmen i realtid, skal du placere hovedtelefonerne i opladningsetuiet med opladningsetuiet åbent.	ขณะนี้ไม่แสดงระดับแบตเตอรี่แบบเรียลไทม์ หากต้องการดูระดับแบตเตอรี่แบบเรียลไทม์ ให้วางเอียร์บัดไว้ในกล่องชาร์จโดยเปิดกล่องชาร์จไว้	Poziom baterii w czasie rzeczywistym nie jest aktualnie wskazywany. Aby sprawdzić poziom baterii w czasie rzeczywistym, włóż słuchawki do etui ładującego, pozostawiając je otwarte.	În prezent nu se afișează nivelul bateriei în timp real. Pentru a vedea nivelul bateriei în timp real, puneți căștile în carcasa de încărcare, cu aceasta deschisă.	Saat ini tidak menunjukkan tingkat daya baterai secara real-time. Untuk melihat tingkat daya baterai secara real-time, letakkan earbud di casing pengisi dayanya dengan casing pengisi daya terbuka.	V súčasnosti sa nezobrazuje reálny čas úrovne nabitia batérie. Ak chcete vidieť reálny čas úrovne nabitia batérie, slúchadlá do uší vložte do ich nabíjacieho puzdra a nechajte ho otvorený.
audio_profile_customize	Customize	Přizpůsobit	Anpassen	Personalizar	Mukauta	Personnaliser	Personalizza	カスタマイズ	사용자 지정	Aanpassen	Anpassa	Personalizar	Настройка	Anpassa	Özelleştir	自定义	自定義	Пристосувати	Tilpas	ปรับแต่ง	Dostosuj	Personalizare	Ubah	
eq_profile_customize	Customize	Přizpůsobit	Anpassen	Personalizar	Mukauta	Personnaliser	Personalizza	カスタマイズ	사용자 지정	Aanpassen	Anpassa	Personalizar	Настройка	Anpassa	Özelleştir	自定义	自定義	Пристосувати	Tilpas	ปรับแต่ง	Dostosuj	Personalizare	Ubah	
eq_profile_default	Default	Výchozí	Standard	Predeterminado	Oletus	Par défaut	Predefinito	オフ	기본	Standaard	Standard	Predefinição	По умолчанию	Standard	Varsayılan	默认	預設	За замовчуванням	Standard	ค่าเริ่มต้น	Domyślne	Predefinit	Default	
device_manager	Device Manager	Správce zařízení	Gerätemanager	Administrador de dispositivos	Laitehallinta	Gestionnaire de périphériques	Gestione dispositivi	デバイスマネージャー	장치 관리자	Apparaatbeheer	Enhetsbehandling	Gestor de dispositivos	Диспетчер устройств	Enhetshanterare	Aygıt Yöneticisi	设备管理员	裝置管理員	Диспетчер пристроїв	Enhedsstyring	ตัวจัดการอุปกรณ์	Menadżer urządzeń	Manager dispozitiv	Perangkat Pengelola	Správca zariadení
device_version	Device version:	Verze zařízení:	Geräteversion:	Versión del dispositivo:	Laiteversio:	Version de l'appareil :	Versione dispositivo:	デバイス ファームウェア バージョン:	장치 버전:	Apparaatversie:	Enhetsversjon:	Versão do dispositivo:	Версия прошивки:	Enhetsversion:	Aygıt sürümü:	设备当前版本：	裝置目前版本：	Версія пристрою:	Enhedsversion:	เวอร์ชันอุปกรณ์:	Wersja urządzenia:	Versiune dispozitiv:	Versi perangkat:	
low_power_switch_description	Disable low battery voice prompt.	Deaktivovat hlasové oznámení nízkého napětí baterie.	Deaktivieren Sie die Sprachansage bei niedrigem Akkustand.	Deshabilitar el aviso de voz de batería baja.	Poista akun heikko akun äänikehote käytöstä.	Désactiver l'invite vocale de batterie faible.	Disattiva prompt voce batteria Scarica.	バッテリー残量低下時の音声通知を無効にする	낮은 배터리 음성 프롬프트 비활성화.	Spraakbericht lage batterij uitschakelen.	Deaktiver talemelding ved lite batteri.	Desativar o aviso de voz de bateria fraca.	Отключить голосовую подсказку о снижении заряда аккумулятора.	Inaktivera röstmeddelande om låg batterinivå.	Düşük pil sesli istemini devre dışı bırakın.	停用低电量语音提示。	停用低電量語音提示。	Вимкнути голосові підказки низького заряду акумулятора.	Deaktiver stemmemeddelelse på lav batteristrøm.	ปิดใช้งานการแจ้งเตือนด้วยเสียงเมื่อแบตเตอรี่ต่ำ	Wyłącz powiadomienia głosowe o niskim poziomie baterii.	Dezactivați mesajul vocal de baterie descărcată.	Menonaktifkan wantian (prompt) suara baterai lemah.	Vypnite hlasovú výzvu slabej batérie.
disconnected	Disconnected	Odpojeno	Verbindung getrennt	Desconectado	Katkaise yhteysd	Déconnecté	Disconnesso	未接続	연결 끊김	Verbinding verbroken	Koble fra	Desligado	Отключено	Frånkopplad	Bağlantı kesildi	未连接	未連線	Відключено	Afbrudt	ตัดการเชื่อมต่อแล้ว	Rozłączono	Deconectat	Sambungan terputus	
upgrading_hint	Do not close the app, turn off the screen, or use headphones until the update is complete.	Dokud nebude aktualizace dokončena, nezavírejte aplikaci, nevypínejte obrazovku ani nepoužívejte sluchátka.	Schließen Sie die App nicht, schalten Sie den Bildschirm nicht aus und verwenden Sie keine Kopfhörer, bis das Update abgeschlossen ist.	No cierre la aplicación, no apague la pantalla ni use auriculares hasta que se complete la actualización.	Älä sulje sovellusta, sammuta näyttöä tai käytä kuulokkeita, ennen kuin päivitys on valmis.	Ne fermez pas l'application, n'éteignez pas l'écran et n'utilisez pas d'écouteurs tant que la mise à jour n'est pas terminée.	Non chiudere l’app, spegnere lo schermo, o usare cuffie fino al completamento dell’aggiornamento	更新中は「アプリを閉じる」「画面をオフにする」「デバイスを使用する」ことはしないでください。	업데이트가 완료될 때까지 앱을 닫거나, 화면을 종료하거나, 헤드폰을 사용하지 마십시오.	Sluit de app niet, schakel het scherm niet uit of gebruik geen hoofdtelefoon zolang de update niet is voltooid.	Ikke lukk appen, slå av skjermen eller bruk hodetelefoner før oppdateringen er fullført.	Não feche a aplicação, não desligue o ecrã nem utilize auscultadores até que a atualização esteja concluída.	Не закрывайте приложение, не выключайте экран и не используйте наушники до завершения обновления.	Stäng inte appen eller skärmen och använd inte hörlurar förrän uppdateringen är klar.	Güncelleme tamamlanana kadar uygulamayı kapatmayın, ekranı kapatmayın veya kulaklık kullanmayın.	在更新完成前，请勿关闭软件、手机屏幕或使用耳机。	在更新完成前，請勿關閉軟體、手機螢幕或使用耳機。	Не закривайте цей додаток, не вимикайте екран і не користуйтеся гарнітурою до завершення поновлення	Undgå, at lukke appen, slukke skærmen eller bruge hovedtelefoner, før opdateringen er færdig.	อย่าปิดแอป ปิดหน้าจอ หรือใช้หูฟังจนกว่าการอัปเดตจะเสร็จสมบูรณ์	Do momentu zakończenia aktualizacji nie należy zamykać aplikacji, wyłączać ekranu ani korzystać ze słuchawek.	Nu închideți aplicația, nu închideți ecranul și nu folosiți căștile până la finalizarea actualizării.	Jangan tutup aplikasi, matikan layar, atau gunakan penyuara jemala (headphone) hingga pembaruan selesai.	Nezatvárajte aplikáciu, vypnite obrazovku alebo, kým nebude dokončená aktualizácia, používajte slúchadlá.
do_not_show_again	Do not show again	Již znovu nezobrazovat	Nicht wieder anzeigen	No mostrar de nuevo	Älä näytä uudelleen	Ne plus afficher ce message	Non visualizzare più	次から表示しない	다시 보지 않음	Niet meer weergeven.	Ikke vis dette igjen	Não voltar a mostrar	Больше не показывать	Visa inte igen	Tekrar gösterme	不再显示	不再顯示	Більше не показувати	Vis ikke igen	ไม่ต้องแสดงอีก	Nie pokazuj ponownie	Nu mai afișați	Jangan tampilkan lagi	Nezobrazovať znova
end_call	End/Decline Call	Ukončit/odmítnout hovor	Anruf beenden/ablehnen	Terminar/Rechazar llamada	Puhelun lopettaminen/hylkääminen	Terminer / Refuser l'appel	Termina/rifiuta chiamata	通話の終了/拒否	통화 종료/거절	Oproepen beëindigen/weigeren	Avslutt/avslå et anrop	Terminar/rejeitar chamada	Завершение/отклонение вызова	Avsluta/Avvisa samtal	Aramayı Sonlandır/Reddet	结束 / 拒听通话	結束 / 拒聽通話	Закінчити/Відхилити виклик	Afslut/Afvis opkald	วางสาย/ปฏิเสธสาย	Zakończ/odrzuć połączenie	End/Decline Call (Terminare/Respingere apel)	Akhiri/Tolak Panggilan	Ukončiť/odmietnuť hovor
english	English	Angličtina	Englisch	Inglés	Englanti	Anglais	Inglese	英語	영어	Engels	Norsk	Inglês	Английский	Engelska	Türkçe	英文	英文	Англійська	Dansk	ภาษาไทย	Angielski	Engleză	Inggris	Angličtina
audio_effect_equalizer	Equalizer	Ekvalizér	Equalizer	Ecualizador	Taajuuskorjain	Égaliseur	Equalizzatore	イコライザー	이퀄라이저	Equaliser	Equalizer	Equalizador	Эквалайзер	Equalizer	Ekolayzer	均衡器	等化器	Еквалайзер	Equalizer	อีควอไลเซอร์	Korektor	Egalizator	Equalizer	
gesture_factory	Factory Default	Výchozí tovární nastavení	Standard-Werkseinstellungen	Valor predeterminado de fábrica	Tehdasasetukset	Paramètres par défaut	Impostazione di fabbrica	工場出荷状態にリセット	공장 기본값	Fabrieksstandaard	Fabrikkstandard	Predefinição de fábrica	Заводские настройки:	Fabriksinställning	Fabrika Ayarı	还原出厂默认值	還原出廠預設值	Фабричні за замовчуванням	Fabriksindstillinger	ค่าเริ่มต้นจากโรงงาน	Domyślne ustawienia fabryczne	Predefinit din fabrică	Default Pabrik	Predvolené nastavenie z výroby
firmware_update	Firmware Update	Aktualizace firmwaru	Firmwareaktualisierung	Actualización del firmware	Laiteohjelmiston päivitys	Mise à jour du firmware	Aggiornamento del firmware	ファームウェアの更新	펌웨어 업데이트	Firmware-update	Oppdatering av fastvare	Atualização de firmware	Обновление прошивки	Uppdatering av inbyggd programvara	Aygıt Yazılımı Güncellemesi	固件更新	韌體更新	Оновлення прошивки	Firmwareopdatering	อัปเดตเฟิร์มแวร์	Aktualizacja oprogramowania sprzętowego	Actualizare firmware	Pembaruan Firmware	
audio_profile_flat	Flat	Plochý	Ausbalanciert	Plano	Litteä	Plat	Piatto	フラット	평면	Vlak	Flat	Plano	По умолчанию	Platt	Düz	均衡	均衡	Плоский	Flad	แบน	Płaski	Echilibrat	Datar	
audio_profile_fps	FPS	FPS	Ego-Shooter	FPS	FPS	FPS	FPS	FPS	FPS	Frames per seconde	Skytespill	FPS	Шутеры	FPS	FPS	射击	射擊	FPS	FPS	FPS	FPS	FPS	FPS	
gaming_mode	Gaming Mode	Herní režim	Spielmodus	Modo de juego	Pelitila	Mode jeu	Modalità di gioco	ゲーミングモード	게임 모드	Gamingmodus	Spillmodus	Modo de Jogo	Игровой режим	Spelläge	Oyun Modu	电竞模式	電競模式	Ігровий режим	Spilfunktion	โหมดการเล่นเกม	Tryb Gry	Modul Jocuri	Mode Game	Herný režim
gaming_mode_on_off	Gaming mode on/off	Zapnutí/vypnutí herního režimu	Gaming-Modus ein/aus	Activación/desactivación del modo de juego	Pelitila päällä/pois	Mode jeu activé/désactivé	Modalità di gioco attivata/disattivata	ゲーミングモード オン/オフ	게이밍 모드 켜기/끄기	Gamingmodus aan/uit	Gaming-modus PÅ/AV	Modo de jogo ativado/desativado	Включение/выключение игрового режима	Spelläge på/av	Oyun modu açık/kapalı	游戏模式 开 / 关	遊戲模式 開 / 關	Увімк./Вимк. Режим гри	Spilfunktion til/fra	เปิด/ปิดโหมดเกม	Włączanie/wyłączanie trybu gier	Activați/dezactivați modul de joc	Mengaktifkan/menonaktifkan mode permainan	Zapnúť/vypnúť herný režim
gesture	Gesture	Gesto	Gesten	Gesto	Ele	Gestes	Movimento	ジェスチャー	제스처	Beweging	Bevegelse	Gesto	Жест	Gest	Mimik	手势	手勢	Жест	Fingerbevægelser	รูปแบบลายเส้น	Gesty	Gest	Gerakan	
gesture_instructions	Gesture Instructions	Pokyny pro gesta	Gesten-Anweisungen	Instrucciones de gestos	Eleohjeet	Instructions des gestes	Istruzioni sui gesti	操作説明	제스처 지침	Bewegingsinstructies	Bevegelsesinstruksjoner	Instruções para gestos	Инструкции по жестам	Gestinstruktioner	Hareket Talimatları	手势操作说明	手勢操作說明	Жестові інструкції	Vejledninger til betjening med fingrene	คำแนะนำรูปแบบลายเส้น	Instrukcje z gestami	Instrucțiuni pentru gesturi	Petunjuk Gerakan	Príkazy gestom
high	High	Vysoká	Hoch	Alto	Korkea	Élevé	Alta	高	높게	Hoog	Høy	Alto	Высокий	Hög	Yüksek	高	高	Висока	Høj	สูง	Wysoka	Ridicat	Tinggi	
rgb_dialog_title	High Power Consumption	Vysoká spotřeba energie	Hoher Stromverbrauch	Alto consumo de energía	Korkea virrankulutus	Consommation électrique élevée	Consumo energetico elevato	高消費電力	높은 전력 소비	Hoog stroomverbruik	Høyt strømforbruk	Alto consumo de energia	Высокая потребляемая мощность	Hög energiförbrukning	Yüksek Güç Tüketimi	高耗电	高耗電	Високе енергоспоживання	Høj strømforbrug	การใช้พลังงานสูง	Duże zużycie energii	Consum de energie ridicat	Konsumsi Daya Tinggi	Vysoká spotreba energie
eq_profile_hiphop	Hip hop	Hip hop	Hip Hop	Hip hop	Hip hop	Hip Hop	Hip Hop	ヒップホップ	힙합	Hiphop	Hip-hop	Hip hop	Хип-хоп	Hiphop	Hip hop	嘻哈	嘻哈	Хіп-хоп	Hip hop	ฮิปฮอป	Hip hop	Hip hop	Hip Hop	
gesture_hold_both_10_sec	Hold both earbuds for 10 sec	Podržte obě sluchátka po dobu 10 sekund	Für beide Ohrhörer 10 Sekunden lang halten	Mantener ambos auriculares durante 10 segundos	Pidä molempia kuulokkeita 10 sekunnin ajan	Maintenez les deux écouteurs pendant 10 secondes	Tenere premuti entrambi gli auricolari per 10 sec	左右両方のセンサーを10秒間長押し	이어버드 두 개를 10초 누르기	Beide earbuds 10 sec. vasthouden	Hold begge øreproppene i 10 sek	Segurar ambos os auriculares durante 10 segundos	Удерживайте оба наушника в течение 10 секунд	Håll båda örsnäckorna intryckta i 10 sek	Her iki kulaklığı da 10 saniye basılı tutun	双耳同时按住 10 秒	雙耳同時按住 10 秒	Утримувати обидва навушники-вкладиші 10 сек	Hold fingeren på begge hovedtelefoner i 10 sekunder	กดเอียร์บัดทั้งสองข้างค้างไว้ 10 วินาที	Przytrzymaj obie słuchawki douszne przez 10 s	Țineți ambele căști intraauriculare timp de 10 secunde	Tahan kedua earbud (penyuara telinga) selama 10 detik	Obidve slúchadlá do uší podržať na 10 sekúnd
